Date,Time,Round,Stadium,City,Country,HomeTeam,HomeGoals,AwayGoals,AwayTeam,Observation,Winning Team,PenalHomeScr,PenalAwayScr,PenalWinner
15-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg,Sweden,Brazil,2,0,Soviet Union, ,Brazil,,,
15-Jun-58, 19:00 ,Group 1,Malmo Stadion,Malmö Municipality,Sweden,Germany FR,2,2,Northern Ireland, ,Tie,,,
15-Jun-58, 19:00 ,Group 3,Jarnvallen,Sandviken,Sweden,Hungary,4,0,Mexico, ,Hungary,,,
15-Jun-58, 19:00 ,Group 2,Tunavallen,Eskilstuna,Sweden,Paraguay,3,3,Yugoslavia, ,Tie,,,
15-Jun-58, 19:00 ,Group 2,Eyravallen,Örebro,Sweden,France,2,1,Scotland, ,France,,,
15-Jun-58, 19:00 ,Group 4,Ryavallen,Borås,Sweden,England,2,2,Austria, ,Tie,,,
15-Jun-58, 19:00 ,Group 1,Olympia Stadium,Helsingborg,Sweden,Czechoslovakia,6,1,Argentina, ,Czechoslovakia,,,
17-Jun-58, 19:00 ,Group 4,Nya Ullevi,Gothenburg,Sweden,Soviet Union,1,0,England, ,Soviet Union,,,
17-Jun-58, 19:00 ,Group 1,Malmo Stadion,Malmö Municipality,Sweden,Northern Ireland,2,1,Czechoslovakia,Northern Ireland win after extra time ,Northern Ireland,,,
17-Jun-58, 19:00 ,Group 3,Rasunda Stadium,Solna,Sweden,Wales,2,1,Hungary, ,Wales,,,
19-Jun-58, 19:00 ,Quarter-finals,Nya Ullevi,Gothenburg,Sweden,Brazil,1,0,Wales, ,Brazil,,,
19-Jun-58, 19:00 ,Quarter-finals,Malmo Stadion,Malmö Municipality,Sweden,Germany FR,1,0,Yugoslavia, ,Germany FR,,,
19-Jun-58, 19:00 ,Quarter-finals,Rasunda Stadium,Solna,Sweden,Sweden,2,0,Soviet Union, ,Sweden,,,
19-Jun-58, 19:00 ,Quarter-finals,Idrottsparken,Sundsvall Municipality,Sweden,France,4,0,Northern Ireland, ,France,,,
24-Jun-58, 19:00 ,Semi-finals,Nya Ullevi,Gothenburg,Sweden,Sweden,3,1,Germany FR, ,Sweden,,,
24-Jun-58, 19:00 ,Semi-finals,Rasunda Stadium,Solna,Sweden,Brazil,5,2,France, ,Brazil,,,
28-Jun-58, 17:00 ,Match for third place,Nya Ullevi,Gothenburg,Sweden,France,6,3,Germany FR, ,France,,,
29-Jun-58, 15:00 ,Final,Rasunda Stadium,Solna,Sweden,Brazil,5,2,Sweden, ,Brazil,,,
30-May-62, 15:00 ,Group 1,Carlos Dittborn,Arica,Chile,Uruguay,2,1,Colombia, ,Uruguay,,,
30-May-62, 15:00 ,Group 3,Estadio Sausalito,Viña del Mar,Chile,Brazil,2,0,Mexico, ,Brazil,,,
30-May-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua,Chile,Argentina,1,0,Bulgaria, ,Argentina,,,
30-May-62, 15:00 ,Group 2,Nacional,Santiago,Chile,Chile,3,1,Switzerland, ,Chile,,,
31-May-62, 15:00 ,Group 1,Carlos Dittborn,Arica,Chile,Soviet Union,2,0,Yugoslavia, ,Soviet Union,,,
31-May-62, 15:00 ,Group 3,Estadio Sausalito,Viña del Mar,Chile,Czechoslovakia,1,0,Spain, ,Czechoslovakia,,,
31-May-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua,Chile,Hungary,2,1,England, ,Hungary,,,
31-May-62, 15:00 ,Group 2,Nacional,Santiago,Chile,Germany FR,0,0,Italy, ,Tie,,,
2-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica,Chile,Yugoslavia,3,1,Uruguay, ,Yugoslavia,,,
2-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Viña del Mar,Chile,Brazil,0,0,Czechoslovakia, ,Tie,,,
2-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua,Chile,England,3,1,Argentina, ,England,,,
2-Jun-62, 15:00 ,Group 2,Nacional,Santiago,Chile,Chile,2,0,Italy, ,Chile,,,
3-Jun-62, 15:00 ,Group 1,Carlos Dittborn,Arica,Chile,Soviet Union,4,4,Colombia, ,Tie,,,
3-Jun-62, 15:00 ,Group 3,Estadio Sausalito,Viña del Mar,Chile,Spain,1,0,Mexico, ,Spain,,,
3-Jun-62, 15:00 ,Group 4,Estadio El Teniente-Codelco,Rancagua,Chile,Hungary,6,1,Bulgaria, ,Hungary,,,
3-Jun-62, 15:00 ,Group 2,Nacional,Santiago,Chile,Germany FR,2,1,Switzerland, ,Germany FR,,,
